Name,East,North
1718,818401.765,8049453.148
ARIA,975618.502,6879579.008
AUSW,599566.763,7058488.406
BAKO,1241755.498,7991080.923
FTSM,714487.491,7502453.383
GRTF,822838.787,7835971.416
KATM,1493145.309,8040259.806
KEET,798455.026,7041017.98
MARI,803721.935,7272518.327
MATA,1001480.404,7140460.605
MUHO,1028796.407,8012626.68
ONGH,606152.214,8062880.599
OUTJ,604323.912,7795613.979
PALM,395361.353,7793148.774
RIVE,794190.429,6864730.589
ROSH,672099.285,6904490.326
RUAC,417514.093,8076759.169
SESR,581024.898,7291603.569
SWAK,455434.441,7492818.757
SWZK,877490.586,7478324.294
TSUM,1129794.641,7824116.058
WIND,714826.601,7502030.975
