city,lat,lng,country,admin_name,population,m,Column3
Keetmanshoop,-26.5786,18.1333,Namibia,ǁKaras,16800,16800,8400
Lüderitz,-26.6458,15.1539,Namibia,ǁKaras,12537,12537,6268.5
Aroab,-26.8,19.65,Namibia,ǁKaras,5000,5000,2500
Berseba,-25.9667,17.7667,Namibia,ǁKaras,5000,5000,2500
Karasburg,-28.0167,18.75,Namibia,ǁKaras,4401,4401,2200.5
Oranjemund,-28.5517,16.4264,Namibia,ǁKaras,3900,3900,1950
Bethanie,-26.4833,17.15,Namibia,ǁKaras,3900,3900,1950
Walvisbaai,-22.9561,14.5081,Namibia,Erongo,85000,85000,42500
Swakopmund,-22.6833,14.5333,Namibia,Erongo,34300,34300,17150
Omatjete,-21.05,15.5,Namibia,Erongo,12000,12000,6000
Otjimbingwe,-22.3575,16.1286,Namibia,Erongo,8000,8000,4000
Omaruru,-21.4333,15.9333,Namibia,Erongo,6300,6300,3150
Arandis,-22.4167,14.9667,Namibia,Erongo,5214,5214,2607
Karibib,-21.9381,15.8544,Namibia,Erongo,5132,5132,2566
Hentiesbaai,-22.1184,14.2824,Namibia,Erongo,4725,4725,2362.5
Uis,-21.2186,14.8675,Namibia,Erongo,3600,3600,1800
Usakos,-22,15.6,Namibia,Erongo,3583,3583,1791.5
Rehoboth,-23.3167,17.0833,Namibia,Hardap,28843,28843,14421.5
Mariental,-24.6333,17.9667,Namibia,Hardap,12478,12478,6239
Maltahöhe,-24.8333,16.9833,Namibia,Hardap,6000,6000,3000
Aranos,-24.1333,19.1167,Namibia,Hardap,3683,3683,1841.5
Hoachanas,-23.9167,18.05,Namibia,Hardap,3000,3000,1500
Rundu,-17.9167,19.7667,Namibia,Kavango East,63431,63431,31715.5
Kangongo,-17.9856,21.1536,Namibia,Kavango East,5000,5000,2500
Nkurenkuru,-17.6167,18.6,Namibia,Kavango West,618,618,309
Windhoek,-22.57,17.0836,Namibia,Khomas,431000,431000,215500
Opuwo,-18.0556,13.8406,Namibia,Kunene,20000,20000,10000
Outjo,-20.1089,16.1547,Namibia,Kunene,10000,10000,5000
Khorixas,-20.3667,14.9667,Namibia,Kunene,6796,6796,3398
Kamanjab,-19.6333,14.8333,Namibia,Kunene,6012,6012,3006
Oshikango,-17.4,15.8833,Namibia,Ohangwena,12423,12423,6211.5
Eenhana,-17.4658,16.3369,Namibia,Ohangwena,5528,5528,2764
Gobabis,-22.4333,18.9667,Namibia,Omaheke,19101,19101,9550.5
Outapi,-17.5167,15,Namibia,Omusati,4606,4606,2303
Oshakati,-17.7833,15.6995,Namibia,Oshana,39679,39679,19839.5
Ondangwa,-17.9167,15.95,Namibia,Oshana,22822,22822,11411
Ongwediva,-17.7833,15.7667,Namibia,Oshana,10964,10964,5482
Okatana,-17.7403,15.7086,Namibia,Oshana,4550,4550,2275
Tsumeb,-19.25,17.7,Namibia,Oshikoto,19275,19275,9637.5
Tsintsabis,-18.7667,17.9667,Namibia,Oshikoto,4000,4000,2000
Omuthiya,-18.3606,16.5812,Namibia,Oshikoto,3794,3794,1897
Grootfontein,-19.5658,18.1036,Namibia,Otjozondjupa,23793,23793,11896.5
Okahandja,-21.9833,16.9167,Namibia,Otjozondjupa,22639,22639,11319.5
Otjiwarongo,-20.4642,16.6528,Namibia,Otjozondjupa,19614,19614,9807
Okakarara,-20.5858,17.4578,Namibia,Otjozondjupa,7000,4709,2354.5
Otavi,-19.65,17.3333,Namibia,Otjozondjupa,5242,5242,2621
Kalkfeld,-20.8833,16.1833,Namibia,Otjozondjupa,5000,5000,2500
Katima Mulilo,-17.5039,24.275,Namibia,Zambezi,28699,28699,14349.5
